CODE MATÉRIEL;NOM DE L’ÉLÉMENT;AFFECTÉ À
ÉLÉMENT0001;chaise;Employé 1
ÉLÉMENT0002;imprimante laser;Employé 2
ÉLÉMENT0003;scanner;Employé 3
ÉLÉMENT0004;imprimante laser;Employé 7
ÉLÉMENT0005;cafetière;Employé 20
ÉLÉMENT0006;scanner;Employé 14
ÉLÉMENT0007;table;Employé 4
ÉLÉMENT0008;photocopieuse;Employé 12
ÉLÉMENT0009;écran supplémentaire;Employé 8
ÉLÉMENT0010;tableau blanc;Employé 19
ÉLÉMENT0011;photocopieuse;Employé 12
ÉLÉMENT0012;papier à lettres;Employé 18
ÉLÉMENT0013;écran supplémentaire;Employé 8
ÉLÉMENT0014;cafetière;Employé 9
ÉLÉMENT0015;papier à lettres;Employé 13
ÉLÉMENT0016;scanner;Employé 1
ÉLÉMENT0017;photocopieuse;Employé 19
ÉLÉMENT0018;tableau blanc;Employé 15
ÉLÉMENT0019;chaise;Employé 16
ÉLÉMENT0020;chiffon à poussière;Employé 3
ÉLÉMENT0021;imprimante laser;Employé 7
ÉLÉMENT0022;ordinateur portable;Employé 8
ÉLÉMENT0023;papier à lettres;Employé 9
ÉLÉMENT0024;imprimante laser;Employé 19
ÉLÉMENT0025;table;Employé 7
ÉLÉMENT0026;tableau blanc;Employé 8
ÉLÉMENT0027;ordinateur portable;Employé 19
ÉLÉMENT0028;table;Employé 12
ÉLÉMENT0029;scanner;Employé 14
ÉLÉMENT0030;cafetière;Employé 3
